text,class
"Christoph Stark's second film comes not so long after that trendy, popular flick 'Run Lola Run' by Tom Twyker.",False
"Turner Classic Movies showed this silent, B&W flick today (Aug 29, 2007) on TV.",True
"I rate it a 10 by how it affected me when I first saw it on television years ago, probably '78 or '79.",True
"After the disappointment of a still decent ""Ring 2"", ""Ring 0 : Birthday"" is a return to form.",True
This is just a precious little diamond.,False
This is a very strange film that was long thought to be forgotten.,False
1 Giant Leap was nominated for two Academy Awards in 2003 and should have won.,True
"After reading the positive comments here and seeing the 1 star rating on my digital cable guide, I decided to give it a chance (plus, I'm a big Alan Arkin fan after seeing him in 'Catch-22', 'Glengarry Glen Ross', and 'Little Murders').",True
"A lot of people criticize this movie as just being too dumb, but I'm just saying, give this movie a chance.",False
"""Tomorrow is Forever"" is a typical example of the type of films that came out of the Hollywood of the 40s.",True
"Though it's now been 24 years since I saw it, I still remember thinking that I should have walked out of the theater.",True
La Femme Nikita (1990) was a great movie from genre director Luc Besson.,True
I enjoyed this movie.,False
"Since the first time I saw this wonderful film on late-night TV, maybe 30 years ago, it has been my sentimental favorite.",True
"I don't really need to say anything about the excellence in Emily's performance as Brigitte, do i, Katherine is also great as ever, in her best role, only rivaled by her little part in Freddy vs.",False
The last time I saw this film must have been nearly fifteen years ago.,False
"Like TWO ARABIAN KNIGHTS, a couple of American soldiers attempt the daring rescue of a Middle Eastern princess from a loveless betrothal.",False
Forget the awful series.,False
"Enjoyed viewing this 1927 Silent Film from the past and seeing great Classic actors like Mary Astor, William Boyd and Boris Karloff.",True
Absolutely superb.,False
"As far back as I can remember, my sisters and I have been fascinated with this film.",False
"Loved this show as a kid, about 18 years ago.",True
This isn't the cowboys vs.,False
"Evocative, funny look at four women stuck in temporary employment, and not all that thrilled at being there.",False
"Many of you have posted comments on ""Clockwatchers"" as a portrayal of ""Office Life"".",False
This 1989 French film was justifiably so popular that an American re-make followed later and then a cable television series followed after that.,True
Im a big fan of the western genre and so bias but that said Deadwood is the greatest thing since moving pictures were invented.,False
Another two hours of my life that I've wasted and will never get back! How did Bridgette jump from the 1700's to the 21st century? That was never even hinted at.,True
"Luc Besson was on a hot streak in the late 80s/early 90s, and La Femme Nikita (or just Nikita for short) is almost as good as he got at putting his own distinctive stamp on a genre that many auteurs have trouble molding.",True
I saw this movie for the first time at the Philadelphia Film Festival in 2004 and I was amazed at how funny this movie was.,True
"I am stunned to see the vast majority of commentators describe this great film as ""typical,"" ""sentimental,"" and ""melodramatic.",False
This film is about 30 years old.,True
Since this movie is an adaptation of Mr.,False
"An incredible person suggested me and my brother to watch ''1 Giant Leap'', saying that the movie would be very inspiring for us.",True
,False
"I remember seeing ""Firesale"" on HBO in 1978.",True
"When I first set out to try and use film to help me with learning French, it was a completely uncharted territory except for one title I had heard of previously: La Femme Nikita.",False
Ring and Ring 2's ability to terrify an audience relied strongly on the fact that the TV you were watching them on was a possible portal for the video-curse and even Sadako herself.,True
"I rented this because it was written by Ross Thomas, and I'm a huge fan of his novels.",False
"I've never seen the 1st one but this movie blows, I'm having a hard time finding something positive about this movie, well no, i will say good job on the special effects and the werewolf costume and head, whoever made those is good.",True
Nikita is a great French film - one of the best I have viewed.,False
"Being that the only foreign films I usually like star a Japanese person in a rubber suit who crushes little tiny buildings and tanks, I had high hopes for this movie.",False
Ring0 is haunting and beautiful.,True
I saw this movie because I am a huge fan of the TV series of the same name starring Roy Dupuis and Pet Wilson.,False
"The original ""Ringu"" (1998) is a truly creepy, modern-day Japanese horror classic; its sequel, ""Ringu 2"" (1999), is a sometimes confusing anticlimax of sorts, but still quite fun, nevertheless.",True
"Respectable, even impressive follow-up to the sharp-witted Canadian horror indie.",False
